strategy,param_value,mean_jobs_completed,std_jobs_completed,mean_jobs_dropped,std_jobs_dropped,mean_jobs_arrived,std_jobs_arrived,mean_inactive_fraction,std_inactive_fraction,mean_battery,std_battery,mean_throughput,std_throughput
S1,0.05,36.0,0.0,53.949,7.817441972921833,89.949,7.817441972921833,0.6346222222222222,0.045823553165281264,24.607628950451055,3.1347148675883636,0.4033181528723154,0.03584821546183774
S2,0.05,44.999,0.031606961258558226,44.95,7.815849282067816,89.949,7.817441972921833,0.5600911111111111,0.054550048103994817,27.336942625675082,3.4161348393229063,0.5041347040774072,0.04478888088223035
S3,0.05,36.757,0.9664114030784199,53.192,8.224058365551645,89.949,7.817441972921833,0.6679666666666667,0.05241850935935502,29.687527248618302,2.7637268928921856,0.4121675566571089,0.042385384682161284
D1,0.05,44.999,0.031606961258558226,44.95,7.815849282067816,89.949,7.817441972921833,0.5612433333333333,0.0544062092385024,27.34849026115075,3.4097233155096047,0.5041347040774072,0.04478888088223035
D2,0.05,44.999,0.031606961258558226,44.95,7.815849282067816,89.949,7.817441972921833,0.5612433333333333,0.0544062092385024,27.34849026115075,3.4097233155096047,0.5041347040774072,0.04478888088223035
D3,0.05,36.001,0.031606961258558226,53.948,7.8191621034481695,89.949,7.817441972921833,0.6465844444444444,0.047348126587627784,29.579937668722515,3.0143287204242672,0.4033311398853024,0.03587381984008739
D4,0.05,44.999,0.031606961258558226,44.95,7.815849282067816,89.949,7.817441972921833,0.5375133333333333,0.05648182659760986,27.0071853213532,3.412648691993418,0.5041347040774072,0.04478888088223035
S1,0.1,36.0,0.0,53.949,7.817441972921833,89.949,7.817441972921833,0.6346222222222222,0.045823553165281264,25.859593663501677,3.066075121608196,0.4033181528723154,0.03584821546183774
S2,0.1,44.999,0.031606961258558226,44.95,7.815849282067816,89.949,7.817441972921833,0.5600911111111111,0.054550048103994817,28.47764747357239,3.3524727934455414,0.5041347040774072,0.04478888088223035
S3,0.1,41.665,1.6537155136237915,48.284,8.422787187148918,89.949,7.817441972921833,0.6240466666666666,0.06394814484900739,28.579310589365594,2.8554114902817433,0.46724023702150885,0.050129669998618405
D1,0.1,44.999,0.031606961258558226,44.95,7.815849282067816,89.949,7.817441972921833,0.5612433333333333,0.0544062092385024,28.49205607785705,3.3474652936072427,0.5041347040774072,0.04478888088223035
D2,0.1,44.999,0.031606961258558226,44.95,7.815849282067816,89.949,7.817441972921833,0.5612433333333333,0.0544062092385024,28.49205607785705,3.3474652936072427,0.5041347040774072,0.04478888088223035
D3,0.1,37.046,1.1532059659921987,52.902,8.331050113881203,89.949,7.817441972921833,0.6381755555555555,0.05528062902752656,31.15143838540453,2.737701654360871,0.4154860105196806,0.043969536136907676
D4,0.1,44.999,0.031606961258558226,44.95,7.815849282067816,89.949,7.817441972921833,0.5384277777777778,0.056159173860038,28.14440068793443,3.365009362211445,0.5041347040774072,0.04478888088223035
S1,0.15,36.0,0.0,53.949,7.817441972921833,89.949,7.817441972921833,0.6346222222222222,0.045823553165281264,27.369048491914636,3.0596940666309003,0.4033181528723154,0.03584821546183774
S2,0.15,44.999,0.031606961258558226,44.95,7.815849282067816,89.949,7.817441972921833,0.5600911111111111,0.054550048103994817,29.620716826553043,3.292432488916019,0.5041347040774072,0.04478888088223035
S3,0.15,44.549,0.6645291566214382,45.36,7.870857640689482,89.949,7.817441972921833,0.5955988888888889,0.059250373536354435,28.49485763308759,3.0824469381873287,0.4991425967568671,0.04555036581101494
D1,0.15,44.999,0.031606961258558226,44.95,7.815849282067816,89.949,7.817441972921833,0.5612433333333333,0.0544062092385024,29.637669598502885,3.288221672910782,0.5041347040774072,0.04478888088223035
D2,0.15,44.999,0.031606961258558226,44.95,7.815849282067816,89.949,7.817441972921833,0.5612433333333333,0.0544062092385024,29.637669598502885,3.288221672910782,0.5041347040774072,0.04478888088223035
D3,0.15,41.13,1.5643209389380426,48.388,8.280305308380845,89.949,7.817441972921833,0.6001833333333332,0.06146653987895656,30.96931289696548,2.692006134713439,0.4611908895587237,0.04869955561022997
D4,0.15,44.999,0.031606961258558226,44.95,7.815849282067816,89.949,7.817441972921833,0.5390355555555556,0.056115737719048896,29.28064701347816,3.3163288091513388,0.5041347040774072,0.04478888088223035
S1,0.2,36.0,0.0,53.949,7.817441972921833,89.949,7.817441972921833,0.6346222222222222,0.045823553165281264,29.17675422536092,3.044891589021788,0.4033181528723154,0.03584821546183774
S2,0.2,44.999,0.031606961258558226,44.95,7.815849282067816,89.949,7.817441972921833,0.5600911111111111,0.054550048103994817,30.81219067370114,3.2659724607743352,0.5041347040774072,0.04478888088223035
S3,0.2,44.95,0.23130067012440755,44.995,7.825533528137235,89.949,7.817441972921833,0.5869311111111112,0.057063180881770675,29.191416453562397,3.1449457755416876,0.5035896322262534,0.04485109924109211
D1,0.2,44.999,0.031606961258558226,44.95,7.815849282067816,89.949,7.817441972921833,0.5612433333333333,0.0544062092385024,30.83347120559114,3.2664841843567474,0.5041347040774072,0.04478888088223035
D2,0.2,44.999,0.031606961258558226,44.95,7.815849282067816,89.949,7.817441972921833,0.5612433333333333,0.0544062092385024,30.83347120559114,3.2664841843567474,0.5041347040774072,0.04478888088223035
D3,0.2,44.635,0.5794609564069005,45.215,7.8302474418117844,89.949,7.817441972921833,0.5680544444444444,0.057990750635418226,30.29714456892742,3.0358978778768972,0.5000759912286953,0.0451461327584538
D4,0.2,44.999,0.031606961258558226,44.95,7.815849282067816,89.949,7.817441972921833,0.5397833333333333,0.05599577778395109,30.482465967002675,3.3161543215207465,0.5041347040774072,0.04478888088223035
S1,0.25,36.82,0.7871467461661771,52.198,7.7267584406399035,89.949,7.817441972921833,0.6242711111111112,0.04514005180040458,31.050353707978786,2.9796817038178127,0.4124376973205506,0.036999444626157486
S2,0.25,45.061,0.24347279108762854,44.836,7.7966084934412345,89.949,7.817441972921833,0.5595044444444445,0.05427935382677147,32.170274415716484,3.28401242993954,0.5048312413769815,0.04497053491352654
S3,0.25,45.165,0.4120376196417021,44.739,7.762401625785669,89.949,7.817441972921833,0.5824522222222221,0.05536668061408614,30.2828362361769,3.1121552538752986,0.5059479979514383,0.04463648958254456
D1,0.25,45.101,0.32372673661593043,44.799,7.787335808863003,89.949,7.817441972921833,0.5605033333333334,0.05417855471824645,32.191399394694464,3.292445472309015,0.5052644059763998,0.044911019688804336
D2,0.25,45.101,0.32372673661593043,44.799,7.787335808863003,89.949,7.817441972921833,0.5605033333333334,0.05417855471824645,32.191399394694464,3.292445472309015,0.5052644059763998,0.044911019688804336
D3,0.25,44.97,0.21702534414210709,44.942,7.787209769872647,89.949,7.817441972921833,0.55864,0.05740193810983591,30.759309978920992,3.1411871959618143,0.5038050007090995,0.04477102006304271
D4,0.25,45.029,0.18482153554172198,44.898,7.815599529146821,89.949,7.817441972921833,0.5400988888888889,0.055852330422107244,31.891477497204264,3.36907718962723,0.5044803029043258,0.045019819696640664
