strategy,param_value,mean_energy_equiv,mean_inactive_fraction,std_inactive_fraction,mean_throughput,std_throughput,mean_jobs_dropped,std_jobs_dropped,mean_jobs_completed,std_jobs_completed,mean_battery,std_battery
S1,0.15,0.1,0.6346222222222222,0.045823553165281264,0.4033181528723154,0.03584821546183774,53.949,7.817441972921833,36.0,0.0,26.352442399474807,3.0261077360840414
S2,0.15,0.1,0.5600911111111111,0.054550048103994817,0.5041347040774072,0.04478888088223035,44.95,7.815849282067816,44.999,0.031606961258558226,28.806471541199134,3.2940522065955884
S3,0.15,0.1,0.6372955555555555,0.06547544675979738,0.4549614737549439,0.05263777611946605,49.406,8.716143872148967,40.543,1.8177323785420119,29.595385852360764,2.5224391951117764
D1,0.15,0.1,0.5612433333333333,0.0544062092385024,0.5041347040774072,0.04478888088223035,44.95,7.815849282067816,44.999,0.031606961258558226,28.8224963950118,3.2892687625656087
D2,0.15,0.1,0.5612433333333333,0.0544062092385024,0.5041347040774072,0.04478888088223035,44.95,7.815849282067816,44.999,0.031606961258558226,28.8224963950118,3.2892687625656087
D3,0.15,0.1,0.6369522222222221,0.05673802643033926,0.41751779596591676,0.04589584218214251,52.732,8.466296474846603,37.216,1.2889313402970692,31.394371483878967,2.6740920735054594
D4,0.15,0.1,0.5383244444444445,0.056134757789615214,0.5041347040774072,0.04478888088223035,44.95,7.815849282067816,44.999,0.031606961258558226,28.42522816828406,3.303576721354843
S1,0.2409090909090909,0.14545454545454545,0.6346222222222222,0.045823553165281264,0.4033181528723154,0.03584821546183774,53.949,7.817441972921833,36.0,0.0,28.170169249604676,3.0186844001710154
S2,0.2409090909090909,0.14545454545454545,0.5600911111111111,0.054550048103994817,0.5041347040774072,0.04478888088223035,44.95,7.815849282067816,44.999,0.031606961258558226,30.157076494913664,3.198233410669915
S3,0.2409090909090909,0.14545454545454545,0.6090666666666666,0.06051201696796153,0.5033027694564116,0.044661816043467716,45.018,7.804849518088097,44.926,0.2693028035502045,28.862063875992312,2.9362333703287904
D1,0.2409090909090909,0.14545454545454545,0.5612433333333333,0.0544062092385024,0.5041347040774072,0.04478888088223035,44.95,7.815849282067816,44.999,0.031606961258558226,30.177361362305263,3.194744554943326
D2,0.2409090909090909,0.14545454545454545,0.5612433333333333,0.0544062092385024,0.5041347040774072,0.04478888088223035,44.95,7.815849282067816,44.999,0.031606961258558226,30.177361362305263,3.194744554943326
D3,0.2409090909090909,0.14545454545454545,0.5997911111111112,0.05855592089280928,0.4645228988315912,0.04907946419800509,47.708,8.18771860776859,41.427,1.5641838127279033,31.901926349702144,2.457767953817569
D4,0.2409090909090909,0.14545454545454545,0.5387455555555556,0.05600745496013108,0.5041347040774072,0.04478888088223035,44.95,7.815849282067816,44.999,0.031606961258558226,29.730134729629597,3.2219130542531644
S1,0.3318181818181818,0.1909090909090909,0.6343355555555555,0.046375951569219774,0.40382742031601354,0.03645029358946414,53.907,7.8580118986929515,36.042,0.2196269564511606,30.1461423191449,3.01256458246112
S2,0.3318181818181818,0.1909090909090909,0.5600911111111111,0.054550048103994817,0.5041347040774072,0.04478888088223035,44.95,7.815849282067816,44.999,0.031606961258558226,31.634440405262133,3.178946749180792
S3,0.3318181818181818,0.1909090909090909,0.6023133333333333,0.06014323721513542,0.5040785167015553,0.04479124163639344,44.955,7.815815696394075,44.994,0.07722693830523131,29.421996956794025,3.1085256014625067
D1,0.3318181818181818,0.1909090909090909,0.5612433333333333,0.0544062092385024,0.5041347040774072,0.04478888088223035,44.95,7.815849282067816,44.999,0.031606961258558226,31.661168347359318,3.182735079220491
D2,0.3318181818181818,0.1909090909090909,0.5612433333333333,0.0544062092385024,0.5041347040774072,0.04478888088223035,44.95,7.815849282067816,44.999,0.031606961258558226,31.661168347359318,3.182735079220491
D3,0.3318181818181818,0.1909090909090909,0.5742544444444444,0.05586694686352434,0.5038951570679205,0.044741384034985184,44.968,7.816711328941347,44.978,0.14668333238647122,30.054864622114263,3.012375741601298
D4,0.3318181818181818,0.1909090909090909,0.5391455555555555,0.055766927220395945,0.5041347040774072,0.04478888088223035,44.95,7.815849282067816,44.999,0.031606961258558226,31.19348927802322,3.244555949477458
S1,0.42272727272727273,0.23636363636363636,0.6224022222222221,0.04434087593871309,0.4226834254237323,0.03870444456933931,52.017,7.732574668246017,37.742,1.2764936349234177,31.786157867302638,3.0976449127017927
S2,0.42272727272727273,0.23636363636363636,0.5561977777777777,0.0537145164644749,0.5120648646644327,0.0453537278357867,44.169,7.7308756942535295,45.716,0.8278550597779784,33.146964512377394,3.273483912192926
S3,0.42272727272727273,0.23636363636363636,0.5972777777777778,0.06072798590110607,0.5067433589105935,0.044448917725959644,44.689,7.739139422442265,45.239,0.4856737588134652,30.68503494354654,3.165102416694533
D1,0.42272727272727273,0.23636363636363636,0.55751,0.05354348548863441,0.5122382586675684,0.045139611489805394,44.163,7.719613397055581,45.733,0.8220164231936002,33.16956768076558,3.2909833023865436
D2,0.42272727272727273,0.23636363636363636,0.55751,0.05354348548863441,0.5122382586675684,0.045139611489805394,44.163,7.719613397055581,45.733,0.8220164231936002,33.16956768076558,3.2909833023865436
D3,0.42272727272727273,0.23636363636363636,0.5706311111111111,0.058039039394421066,0.5041215461826704,0.04476496166684036,44.95,7.815849282067816,44.998,0.044676615807377355,30.710184176723516,3.204064555986983
D4,0.42272727272727273,0.23636363636363636,0.5376044444444444,0.055921237203502304,0.5078299700886688,0.04595677348238913,44.597,7.8327894775743845,45.328,0.6453030295915246,32.82647151494379,3.335026654996082
S1,0.5136363636363636,0.2818181818181818,0.5693533333333334,0.04792848679974761,0.500340970598954,0.04364335883031453,45.242,7.73132821706594,44.67,0.5487257967327579,30.21833821484054,3.260591492328809
S2,0.5136363636363636,0.2818181818181818,0.5433155555555554,0.05295115084026638,0.5390005253493009,0.04723267816870997,41.74,7.60278896195337,48.14,1.484722196237397,33.88526327835606,3.5791979904015667
S3,0.5136363636363636,0.2818181818181818,0.5855511111111111,0.058558865434600545,0.5307468219980254,0.043554074409825734,42.508,7.403508357528882,47.419,1.3196359346425819,31.3436029632818,3.413635628596358
