strategy,param_value,mean_jobs_completed,std_jobs_completed,mean_jobs_dropped,std_jobs_dropped,mean_jobs_arrived,std_jobs_arrived,mean_inactive_fraction,std_inactive_fraction,mean_battery,std_battery,mean_throughput,std_throughput
S1,0.1,29.041,4.963800862242562,0.024,0.18282231811242305,29.927,5.059414096513548,0.009878888888888888,0.01703602279992329,83.5107,4.844139854224272,0.9705087352735092,0.029705336547584355
S2,0.1,29.347,5.000659056564444,0.0,0.0,29.927,5.059414096513548,0.0033866666666666667,0.009648494797213285,87.80011444444445,3.760205571999035,0.9806695359415581,0.023783546008912755
S3,0.1,29.625,5.012621569598088,0.001,0.03160696125855822,29.927,5.059414096513548,0.006895555555555555,0.014415850501410326,86.0809911111111,4.237222690782136,0.9900176060541658,0.017349598844869422
D1,0.1,29.347,5.000659056564444,0.0,0.0,29.927,5.059414096513548,0.0038733333333333332,0.010789444086870449,87.80554888888888,3.745243734336283,0.9806695359415581,0.023783546008912755
D2,0.1,29.347,5.000659056564444,0.0,0.0,29.927,5.059414096513548,0.0038733333333333332,0.010789444086870449,87.80554888888888,3.745243734336283,0.9806695359415581,0.023783546008912755
D3,0.1,29.554,4.96921361987991,0.001,0.031606961258558226,29.927,5.059414096513548,0.005971111111111111,0.012794198337962059,86.18734222222223,4.112134099199286,0.9878527258796287,0.019541570979683086
D4,0.1,29.347,5.000659056564444,0.0,0.0,29.927,5.059414096513548,0.0006122222222222222,0.0039893993792809715,88.3621011111111,3.549077786512268,0.9806695359415581,0.023783546008912755
S1,0.2,54.206,4.433459597199461,4.376,3.7141114684403322,59.912,6.805016972792941,0.16450666666666666,0.0725560903842803,56.67133111111111,6.96108908064227,0.9089571935014019,0.05060612357507021
S2,0.2,57.608,5.813977640135882,1.175,1.9617275549882047,59.912,6.805016972792941,0.08953666666666667,0.05658699312879263,65.06184444444445,6.730686097179501,0.9632571056257334,0.030332150803597493
S3,0.2,57.721,5.513905965828579,1.649,2.3878440066302486,59.912,6.805016972792941,0.1325022222222222,0.07339082339110722,61.14664222222223,7.093126700860784,0.9658199258930695,0.03465802525498693
